,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
10538,"Associate Scientist, Biotherapeutics","San Diego, CA",Celgene,None,91 reviews,51.6,"Celgene Biotherapeutics is seeking a highly motivated and experienced Associate Scientist. Also, perform routine and complex data analysis to triage leads for..."
10539,Clinical Bioinformaticist,"San Diego, CA",Rady Children's Hospital - Main Campus,None,None,None,"Organize genomic data on local and cloud locations, interact with collaborators worldwide on data logistics...."
10540,Software Architect/Engineer - Machine Learning,"San Diego, CA",BAE Systems,None,"1,703 reviews",44.4,"This position is a mix of data science with system design and prototype implementation. In Computer Science, Data Science, or Analytics with a focus in Machine..."
10541,Scientist,"San Diego, CA","IGE Therapeutics, Inc","<nobr>$53,000 a year</nobr>",None,None,"The candidates working in a Team culture, are expected to be a cordial team player, skilled in both verbal and written communication, data organization and..."
10542,Cyber Analytic Scientist,"San Diego, CA",FICO,None,42 reviews,43.8,"We are looking for data scientists to analyze and understand large amounts of historical data to determine suitability for modeling, data clean-up and filtering..."
10543,Statistician,"San Diego, CA",UC San Diego,None,42 reviews,51.6,"Experience with data management. Extensive experience with conducting all steps of data analysis, including exploratory data analysis to inform model..."
10544,"Principal Scientist, Antibody Discovery","San Diego, CA",Celgene,None,91 reviews,51.6,We seek a highly motivated and innovative scientist with demonstrated expertise in antibody discovery and development....
10545,Intern - Chemistry/Materials Science,"San Diego, CA",HP Inc,None,None,None,"Job Description – Chemistry/Materials Scientist Intern HP has an opening for a Chemist/Materials Scientist Intern in the Industrial, Commercial, and Enterprise..."
10546,"Senior Scientist, Behavioral Neuroscience","San Diego, CA",Astellas Pharmaceuticals,None,50 reviews,43.2,"Astellas is announcing Senior Scientist, Behavioral Neuroscience opportunities in San Diego, CA. Collect, analyze, and interpret data, construct relevant..."
10547,"Research Administrator, Analyst","San Diego, CA",UC San Diego,"<nobr>$50,000 - $65,000 a year</nobr>",42 reviews,51.6,Incumbent will work on proposals of diverse scope where analysis of data requires thorough understanding of complex regulations....
10548,Lead Analytic Scientist,"San Diego, CA",FICO,None,42 reviews,43.8,Mentor and assist in developing growth opportunities for professional Scientists. Assist with client meetings to investigate and resolve production data...
10549,Data Scientist/Architect,"San Diego, CA",OneRoof Energy,None,13 reviews,43.8,We are looking for a talented Data Scientist who also has strong knowledge of data architecture and business intelligence practices....
10550,Senior Hadoop Administrator,"San Diego, CA",RiverRock Network,None,None,None,"Closely work with big data modelers and scientists. With data technologies, relational and non-relation data store solutions like *Hadoop, MySQL, Cassandra,..."
10551,Senior Research Compliance Analyst,"San Diego, CA",UC San Diego,None,42 reviews,51.6,"The Regulatory Analyst will independently conduct special complex reviews for allegations of research/clinical trials noncompliance, high risk or best practice..."
10552,Lab Research Associate,"San Diego, CA",Nano Engineered Applications (NEA),None,None,None,"Produce, record and organize accurate data for research and development projects. Follow verbal and written procedures, and assist research scientist in..."
10553,Data Integration Engineer,"San Diego, CA",Human Longevity,None,None,None,"JOB RESPONSIBILITIESTasks and ResponsibilitiesWork with bioinformatics scientists, data scientists, software engineers, data stewards and other data engineers..."
10554,Associate Scientist,"San Diego, CA",R&D Partners,None,3 reviews,55.1,"Help plan, conduct, analyze, and report data. Keep a laboratory notebook, prepare data for presentations, present in small groups...."
10555,AI Engineer,"San Diego, CA",Circadence Corporation,None,None,None,"Experienced Data Scientist with expertise in machine learning, deep learning, artificial intelligence, statistical data analytics, and applications...."
10556,"Research Scientist, Computational","San Diego, CA","Genomatica, Inc.",None,None,None,"Develops a variety of software solutions from one-off scripts to enterprise applications to facilitate, optimize, and automate data processing and analysis by R..."
10557,Computational Microbiologist,"San Diego, CA",MONSANTO,None,487 reviews,51.6,You will develop tools to enable scientists to independently analyse their data and make decisions. Monsanto is a sustainable agriculture company focused on...
10558,"Research Scientist, Statistical Genetics","San Diego, CA",Human Longevity,None,None,None,"Is looking for a Research Scientist to work as a member of the Genomics Team. This Research Scientist plays a key role in the development, optimization and..."
10559,Scientist II - Immuno-Oncology,"San Diego, CA",Organovo,None,None,None,Scientist II Responsibilities:. Scientist II Skill s &amp; Experience :. We have an opening for an Immuno-Oncology Scientist II located at our San Diego based...
10560,Research Administration Financial Analyst,"San Diego, CA",UC San Diego,None,42 reviews,51.6,Utilize standardized procedures and automated systems to create a variety of complex internal reports and validation of data for management use....
10561,"Scientist, Pharmacology - CA","San Diego, CA",Aequor Technologies,None,5 reviews,40.2,Associate Scientist / Sr Associate Scientist Reports to:. QC assessment of raw data sheet templates and completed data • ;...
10562,Upstream Production Scientist,"San Diego, CA",Abzena,None,None,None,"Provides detailed observations, analyzes data, and interprets results. Skill leading Upstream production and Process Development in absence of Senior Scientist...."
10563,Senior Research Associate (Drug Development),"San Diego, CA",Ivory Systems,None,None,None,- Expertise in data handling using Abase and Excel; Seeking an experienced industry scientist for a position in the Protein Homeostasis Group....
10564,Cyber Security Data Scientist Intern,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Proficiency in Splunk, AWS and data visualization required. Ability to complete statistical analysis and correlation of large data sets...."
10565,Jr Software Engineer,"San Diego, CA",Human Longevity,None,None,None,"Is looking for a System Support Engineer to work cross-functionally with DevOps, Software Quality and Data Engineering to manage, support and optimize the..."
10566,Staff Scientist,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Strong data analysis skills, ability to interpret and draw conclusions from large amounts of data. Experience with design of experiment (DOE) methodologies and..."
10567,SAS/A Programmer II,"San Diego, CA",Kaiser Permanente,None,"3,803 reviews",52.1,Design automated reporting and data loading schemes. Define analytical variables collaboratively with research scientists and biostatisticians....
10568,Associate Scientist in Exploratory Toxicology,"San Diego, CA",Aequor Technologies,None,5 reviews,40.2,"Comprehensive study data analysis and reporting. - In general, scientist will provide appropriate technical support and scientific oversight to conduct in vivo..."
10569,Software Engineer,"San Diego, CA",FocusKPI Inc.,None,None,None,"Come join our client’s data team as a Software Engineer with an emphasis on data where you will work with a data scientists, software and data engineers...."
10570,"Senior Scientist, Analytical Development","San Diego, CA",PaxVax,None,None,None,The Senior Scientist position will assume a leadership role focused on supporting Analytical Development and company pipeline objectives....
10571,Searching for an Opportunistic Biotech Engineer,"San Diego, CA",Sempulse,None,None,None,"We currently have a Chief Scientist, but we need someone to be his peer in providing thought leadership and engineering design...."
10572,Software Engineer,"San Diego, CA",Human Longevity,None,None,None,"Is looking for a Software Engineer to perform the high quality transfer, management, and delivery of complex data (Big Data) derived from next generation DNA..."
10573,None,"San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,"Collaborates with safety assessment group on study design, provides toxicokinetic data analysis and interpretation, and ensures strong alignment with Takeda..."
10574,Software Engineer III (Parallel In-Database Statistical Anal...,"San Diego, CA",Teradata,None,75 reviews,44.4,"Strong background in Statistics, Analytics and/or Data Science. Our R&amp;D team of analytic architects, database developers and engineers work to understand and..."
10575,Principal Scientist - In Vivo Pharmacology,"San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,"Manages Research Associates and lower level Scientists. Plans, designs and initiates studies, and analyzes the data in preparation for final reports...."
10576,Research Associate Intern,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Use statistical approach to interpret data and draw conclusions. Work independently and within multi-disciplinary teams of research associates and scientists....
10577,"Assoc Mgr, Science","San Diego, CA",Affymetrix,None,25 reviews,43.8,Must be able to independently design experiments and critically analyze complex data. Must have experience managing scientists or technicians with a record of...
10578,Statistical Analyst I,"San Diego, CA",Dexcom,None,25 reviews,43.8,"Clean and prepare data for analysis, assist scientific publications and presentations as well as conduct and interpret simple to complex statistical data..."
10579,"Research Associate Scientist, Developability","San Diego, CA","Janssen Research & Development, LLC.",None,None,None,"The Research Associate Scientist, Developability will:. Generate data under the guidance and supervision of a senior scientist, while maintaining accurate and..."
10580,"Discovery Toxicologist, DSRE","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,"Strong data analysis skills. Facility with bioinformatics and the ability to integrate and interpret data across multiple disciplines including toxicology,..."
10581,"Senior Scientist, Immunology / Immuno-Oncology","San Diego, CA",Celgene,None,91 reviews,51.6,"Develop, conduct and analyze in vitro/ex vivo mechanism of action assays to support data for efficacy studies...."
10582,Applied Scientist,"Solana Beach, CA",Amazon Corporate LLC,None,"9,636 reviews",43.2,"Communication and data presentation skills. Strong Communication, writing and data presentation skills. 3+ years of hands-on experience in predictive modeling..."
10583,Scientist,"San Diego, CA",Thermo Fisher Scientific,None,983 reviews,42.6,"Strong experimental skills, including experiment design, data reduction, and analysis. The scientist will be focused on research and development of electronic..."
10584,Scientist - In Vitro,"San Diego, CA",NEUROCRINE BIOSCIENCES,None,None,None,"Comfort with data analysis and informatics systems is a must. Seeking an individual with in vitro high-throughput screening and lead optimization experience,..."
10585,Scientist II,"San Diego, CA",Organovo,None,None,None,Therapeutics Scientist II. Scientist II Skills &amp; Experience:. Independently perform data analysis and experimental iteration and optimization....
10586,"Principal Investigator, Senior Scientist","San Diego, CA",Biotech Partners,None,4 reviews,55.8,"Responsible for accurate record keeping with regards to sponsor’s samples, data, and reports. Our client offers Good Laboratory Practice (GLP) expertise for..."
10587,Associate Scientist in Exploratory Toxicology,"San Diego, CA",Ivory Systems,None,None,None,"Associate Scientist in Exploratory Toxicology*. Comprehensive study data analysis and reporting. In general, scientist will provide appropriate technical..."
10588,Scientist - Bioanalytical Chemist,"San Diego, CA",Genomics Institute of the Novartis Research Founda...,None,858 reviews,51.6,"The ideal candidate will also have experience in liquid handling robotics, automated optimization software, and interpretation of PK data...."
10589,Investigator - Assay Development and High Throughput Screeni...,"San Diego, CA",Genomics Institute of the Novartis Research Founda...,None,858 reviews,51.6,"It is critical that the candidate is collaborative, has an innovative attitude, and be able to lead a team of scientists...."
10590,Computer Scientist (Junior Level),"San Diego, CA",ISPA Technology,None,None,None,"2 years demonstrated software development experience with data and analytic frameworks such as MapReduce, Yarn Spark, and Storm, and with data analytic tools..."
10591,Asset Manager,"San Diego, CA",General Dynamics - Information Technology,None,"3,524 reviews",43.8,Performs data analysis; Ensures the integrity of project data; Develops rules and methodologies for data collection and analysis....
10592,Bioinformatics Engineer 2,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,This role is to provide Bioinformatics test automation support for Illumina’s data analysis software. Work independently in cross-functional teams to lead the...
10593,"Senior Scientist, DMPK Translational Research","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,"Design, execute, and report key biomarker data to support compound progression and translational research strategy for programs from target loading through..."
10594,Scientific Programmer Analyst,"San Diego, CA",TEKSystems,None,"1,371 reviews",44.4,Utilize Excel (Macros) as the basis for processing discovery research data and data visualization. Work with scientists to build quick turnaround tools to...
10595,Sr. Applied Scientist,"Solana Beach, CA",Amazon Corporate LLC,None,"9,636 reviews",43.2,"Communication and data presentation skills. Strong Communication, writing and data presentation skills. 7+ years of hands-on experience in predictive modeling..."
10596,"Research Associate II, bacTRAP Biology","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,Provides analysis and interpretation of data; Works very closely with our team of scientists to validate new targets for multiple indications....
10597,Bioinformatics Scientists,"San Diego, CA",Workbridge Associates,"<nobr>$85,000 - $100,000 a year</nobr>",25 reviews,41.4,"At least 2 years of experience in Illumina sequencing data and bioinformatics pipelines for alignment, variant calling, and CNV analysis...."
10598,"Research Associate II, Discovery Biology","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,Providesanalysis and interpretation of data; This position will work very closely with our team of scientists to validate new targets for GI indications....
10599,Computer Vision / Machine Learning R&D Engineer,"San Diego, CA",Koh Young Technology,None,None,None,"Expert in algorithm modifications and optimizations for efficient processing including fixed point conversion, exploiting parallelism, balancing data transfer..."
10600,Research Analyst I,"San Diego, CA",Informa Business Intelligence,None,None,None,"Ability to use sound logic to edit, manipulate and analyze different types of data. These objectives are achieved through a solid understanding of the standard..."
10601,Software Engineer in Test 2,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Experience working on Data Analysis Apps (Secondary Analysis/Variant Calling). At Illumina, Software Test Engineering (STE) is a great learning and development..."
10602,Software Engineer Test Intern,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,This role will provide Automation Test support for Illumina’s instrumentation and data analysis software. The Software Engineer in Test intern will work on an...
10603,"Computational Biologist, DSRE","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,"Demonstrated experience in data curation, data mining and an ability to interrogate, interpret, and visualize large and diverse, biological and toxicological..."
10604,Scientist 1,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Ability to analyze large data sets, interpret results, and trouble-shoot experiments. Experience with data analysis packages such as JMP, Matlab, R, and an..."
10605,Sr Bioinformatics Scientist,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"As an Illumina Senior Bioinformatics Scientist, you will implement and automate analysis pipelines based on the prototypes of data analysis algorithms...."
10606,Defense Research Analyst,"San Diego, CA 92108",Booz Allen Hamilton,None,946 reviews,44.4,Synthesize data and the subsequent development and presentation of professional analytical reports. Provide operational analysis and metrics assessments for the...
10607,Sr. Scientist - Assay Development,"San Diego, CA",Cypress HCM,None,3 reviews,52.8,"Document experimental data, present data, conclusions and interpretations. Scientist – ELISA Development. Scientist will lead the development of ELISA assays in..."
10608,Sr. Data Engineer - ETL (Not Corp to Corp),"San Diego, CA",TEKSystems,None,"1,371 reviews",44.4,"Product Management, Project Management, Data Architects, Data Scientists, Data Analysts, Software Engineers, and other Data Engineers...."
10609,Market Research Analyst,"San Diego, CA",GenomeDx Biosciences,None,None,None,"Analyzing and interpreting data, including medical claims and other industry data, surveys and telephone interview or focus group transcripts...."
10610,Principal Scientist,"San Diego, CA",FICO,None,42 reviews,43.8,"Experience leading cross functional teams of data scientists, software engineers, IT and product managers in execution of an analytic research or development..."
10611,Scientist,"San Diego, CA 92101",Dart NeuroScience,None,3 reviews,40.8,Candidates will also be responsible for data analysis including statistical analysis and data presentation and must be able to both work independently and as...
10612,Lead Software Engineer - Text Analytics,"San Diego, CA",FICO,None,42 reviews,43.8,Collaborate with data scientists to translate analytic innovations to pragmatic commercial solutions. Demonstrated expertise in collaborating with data...
10613,Biology Scientist,"San Diego, CA",Makro Scientific,None,None,None,"Biology Scientists (In Vivo). Proficient in data collection/documentation, either in electronic or hardcopy forms. San Diego, CA...."
10614,Oncology Software Engineer Intern,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Having an understanding of NGS data analysis, Oncology, Molecular Biology, Bioinformatics, or related field of biology is a plus...."
10615,Statistical Programming Manager (1 of 2),"San Diego, CA","Janssen Research & Development, LLC.",None,None,None,"Janssen Research &amp; Development, L.L.C., a member of Johnson &amp; Johnson's Family of Companies, is recruiting for the Statistical Programming Manager located in"
10616,Biology Scientists (In Vivo),"San Diego, CA",Makro Technology,None,None,None,"Biology Scientists (In Vivo)*. Is looking for *Biology Scientists t*. Proficient in data collection/documentation, either in electronic or hardcopy forms...."
10617,None,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Play a key role in product and process development by interpreting complex data and providing guidance to product development teams....
10618,"Research Scientist, Evolutionary and Population Genetics","San Diego, CA",Human Longevity,None,None,None,"Is looking for a Research Scientist to work as a member of the Genomics Team. This Research Scientist plays a key role in the development, optimization and..."
10619,"Senior Principal Scientist, DMPK","San Diego, CA",Celgene,None,91 reviews,51.6,"This scientist will manage and supervise scientific, administrative, and technical activities related to DMPK...."
10620,Senior Frontend Engineer,"San Diego, CA",Classy,None,None,None,"You will work closely with our designer to iterate on UX/UI, with our backend engineers to implement our product vision, and with our data scientist to..."
10621,Protein Engineering Scientist,"San Diego, CA 92120","Ambrx, Inc.",None,None,None,"Interpret data, troubleshoot experiments and present work at both internal &amp; external meetings. Is a biopharmaceutical company with a mission to deliver..."
10622,Scientist,"San Diego, CA",General Atomics and Affiliated Companies,None,82 reviews,51.0,"We currently have an exciting opportunity for a Scientist in our Diazyme Laboratories. Responsible for assay performance data collection, assay validation, and..."
10623,"Senior Scientist, Analytical Development, Biologics","San Diego, CA",Celgene,None,91 reviews,51.6,Manage a group of scientists and associates. Work in close collaboration with formulation and Biotherapeutics discovery scientists....
10624,"Principal Scientist, Translational Bioinformatics","San Diego, CA",Celgene,None,91 reviews,51.6,"Principal Scientist, Protein Homeostasis. Proven ability to derive novel insights from complex data...."
10625,Scientist,"San Diego, CA",inVentiv Health Clinical,None,52 reviews,43.8,Process and analyze large and complex data and report data in a well-organized and easy to interpret manner....
10626,Research Associate CEER,"San Diego, CA",Pierian Biosciences,None,None,None,"Participate in experimental data analysis, interpretation, and study report writing. Present data for review and discussion at individual and group laboratory..."
10627,Bioinformatics Scientist 2,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"As an Illumina Bioinformatics Scientist, you will implement and automate analysis pipelines based on the prototypes of data analysis algorithms...."
10628,Industry Alliance Officer - Life Sciences,"San Diego, CA",UC San Diego,None,42 reviews,51.6,"Meeting with UCSD scientists and administrators to facilitate negotiations and final agreements; Demonstrated ability to identify, understand, analyze, and..."
10629,Senior Scientist - Toxicology,"San Diego, CA",Organovo,None,None,None,Scientist – Toxicology. Senior Scientist - Toxicology Responsibilities:. Sen ior Scientist - Toxiciology Responsibilities:....
10630,"Director, Biostatistics (Continuous Glucose Monitoring)","San Diego, CA",Dexcom,None,25 reviews,43.8,"Investigates, evaluates, and prepares reports on applicability, efficiency, and accuracy of statistical methods used by physical and social scientists in..."
10631,Staff Scientist,"San Diego, CA",Haley & Aldrich,None,5 reviews,43.8,"Demonstrate working knowledge of resource characterization including field data collection and resource assessment, and application of resource data within CEQA..."
10632,Custom Applications Scientist (CAS),"San Diego, CA",Becton Dickinson & Company,None,475 reviews,51.6,"Experience in data management, including analysis and uploading of data in various web portals. The responsibilities of the Custom Applications Scientist (CAS)..."
10633,SR Technician,"San Diego, CA",General Atomics and Affiliated Companies,None,82 reviews,51.0,"Have an analytical ability to interpret detailed instructions, drawings and specifications as well as have competencies to define problems, collect data,..."
10634,"Staff Software Engineer, Database Tools","San Diego, CA",Walmart eCommerce,None,17 reviews,42.0,"We employ big data at scale -- from machine learning, data mining and optimization algorithms, to modeling and analyzing massive flows of data from online,..."
10635,None,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Must be able to design experiments and perform data analysis for others and have demonstrated experience in achieving results with team members in non...
10636,"Software Engineer (San Diego, CA)","San Diego, CA",Pierian Biosciences,None,None,None,"Work closely with other software engineers, research scientists, lab staff, and computational scientists to identify and implement key automation and..."
10637,QC Associate Scientist I,"San Diego, CA",Zoetis,None,64 reviews,43.2,This individual writes basic reports from data generated in the laboratory. This individual works on problems of diverse scope where analysis of situation and...
10638,Sequencing and Data Analysis Sales Specialist - West,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Sequencing &amp; Data Analysis Sales Specialist’s. Basic knowledge of NGS data analysis methods. All About Us....
10639,Sr. Principal Analytic Scientist,"San Diego, CA",FICO,None,42 reviews,43.8,"Experience leading cross functional teams of data scientists, software engineers, IT and product managers in execution of an analytic research or development..."
10640,Clinical Genomics Scientist - WGS Validation & Enhancements,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Familiarity with informatics and bioinformatic approaches to analysis and management of large datasets, data mining...."
10641,"Principal Investigator, Protein Homeostasis Informatics","San Diego, CA",Celgene,None,91 reviews,51.6,"We seek a talented, collaborative inter-disciplinary scientist to lead work on the computational analysis of high-dimensional tissue, cell and molecular..."
10642,Associate Scientist I,"San Diego, CA",Aequor Technologies,None,None,None,Expertise in data handling using Abase and Excel. Process and analyze large and complex data and report data in a well organized and easy to interpret manner....
10643,Scientist,"La Jolla, CA",MakroScientific,None,None,None,The candidate will work collaboratively in a matrixed cross-discipline team of analytical scientists specializing in quantitative assessments of exposure and...
10644,SSD Staff Software Engineer (Programmer) San Diego,"San Diego, CA",Kaiser Permanente,None,"3,803 reviews",52.1,"Envisions, designs, and implements new features/functionalities for software solutions in clinical natural language processing, data mining, and decision..."
10645,Sr. Principal Scientist (Innovation and Go To Market),"San Diego, CA",FICO,None,42 reviews,43.8,"Big Data Software and Analytic Techniques. Experience with Machine Learning and Data Science projects using open-source tools in Python, R, Java...."
10646,None,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Data pipeline and analysis for large data sets supporting both Development, V&amp;V and manufacturing. Statistical analysis of large data sets to determine/define..."
10647,Lead Data Scientist,"San Diego, CA",Accenture,None,"6,930 reviews",51.0,The Data Scientist will be part of Accenture Analytics as a Service Core Data Scientist team. Data Scientists are expected to collaborate with other data...
10648,Systems Engineer,"San Diego, CA",General Atomics and Affiliated Companies,None,82 reviews,51.0,"Provides technical coordination of scientists, engineers and customer. Devises new and unique approaches to resolve complex engineering and computer problems..."
10649,Quality Control Team Lead - 2nd shift,"San Diego, CA",Eurofins,None,None,None,"Supervise a staff of 2-6 scientists. Calculate, evaluate, review, and properly communicate data verbally and in written format...."
10650,Quality Control Team Lead - 2nd shift,"San Diego, CA",Lancaster Laboratories,None,None,None,"Supervise a staff of 2-6 scientists. Calculate, evaluate, review, and properly communicate data verbally and in written format...."
10651,Principal Statistician,"San Diego, CA",OCSI.co,None,None,None,"Follows best practices for data integrity. Advanced data analytic expertise based on a foundation of statistical principles, a strong track record of applied..."
10652,Staff Scientist II,"San Diego, CA",Affymetrix,None,25 reviews,43.8,Must be able to independently design experiments and critically analyze complex data. We are seeking a highly motivated scientist to join the R&amp;D team in San...
10653,Diagnostic Systems Manager,"San Diego, CA",General Atomics and Affiliated Companies,None,82 reviews,51.0,"Extensive experience in instrumentation (diagnostics), electronics, data acquisition and analysis. Leads a team of scientists, engineers, and technicians to..."
10654,Senior Archaeologist,"San Diego, CA",ICF,None,234 reviews,41.4,"We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives...."
10655,Archeological Technician,"San Diego, CA",HDR,None,122 reviews,51.0,"Minimum of one year plus field experience (survey, testing and data recovery). We create an unshakable foundation for progress because our multidisciplinary..."
10656,Laser Technician,"San Diego, CA",Daylight Solutions,None,2 reviews,54.0,Collect and evaluate test and build data to ensure process control and product quality based on specific procedures and processes....
10657,Senior Research Associate CEER,"San Diego, CA",Pierian Biosciences,None,None,None,"Participate in experimental data analysis, interpretation, and study report writing. Present data for review and discussion at individual and group laboratory..."
10658,Systems/Software Engineering Architect 5,"San Diego, CA",Northrop Grumman,None,"2,126 reviews",51.0,"Data Analysis and data profiling expertise with Big Data. 14+ years of intense technical experience in the areas of data architecture, data modeling, data..."
10659,Scientist 1 - Systems Integration,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Analyze data and troubleshoot issues. Proven skills in analysis of large complex data sets helpful. As a Scientist 1 at Illumina you will work in a dynamic,..."
10660,"VP, Global Product Development (Neuroscience)-HOME-BASED","San Diego, CA",PPD,None,225 reviews,41.4,"Clinical data review and evaluation. Mentor and supervise TA clinical scientists. The Global Product Development group, a part of the medical organization, is..."
10661,Staff Software Engineer,"San Diego, CA",Walmart eCommerce,None,17 reviews,42.0,"Experience with data caching. Understanding of enterprise software design patterns, SOA, RESTful services, data structures and multi-threading...."
10662,Systems Analyst/Computer Scientist,"San Diego, CA",TechGuard,None,None,None,Operations tools and data fusion drawn from various sources of information. Full Time Position....
10663,Senior Project Manager Controls,"San Diego, CA",HDR,None,122 reviews,51.0,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
10664,None,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Presents data at scientific conferences. Experience in managing and mentoring junior and senior scientists while managing product development projects....
10665,Sr. Network Engineer,"San Diego, CA 92110",Scientific Research Corporation,None,53 reviews,43.8,"Data Center Virtualization (VCP6-DCV), RedHat Virtualized Infrastructure/Platform-as-a-Service (PaaS) Certification/RedHat Certified Architect:...."
10666,(CLS) Clinical Lab Scientist,"San Diego, CA",UC San Diego,None,42 reviews,51.6,Must have a current Clinical Laboratory Scientist (CLS) license issued by the state of California. Other responsibilities include method development...
10667,"Sr Engineer, Sample Prep Automation","San Diego, CA",BioNano Genomics,None,None,None,"Experience with data analysis and the use of statistical software tools. Creates validation test plans, executes tests, performs data analysis, and writes..."
10668,None,"San Diego, CA",Cue Inc.,None,None,None,"Document experimental data, presenting data, conclusions and interpretations. Scientist with expertise in method &amp; process development. What We’re Looking For:...."
10669,"Sr. Fermentation Scientist I, San Diego","San Diego, CA",BASF,None,"1,010 reviews",52.1,Bioprocess Development Fermentation Scientist (1602803). Provide significant contributions to the BASF Enzymes Pilot Plant operation and development efforts...
10670,Analytical Chemist Intern,"San Diego, CA",HP Inc,None,None,None,Job Description HP has an opening for an Analytical Chemist or Materials Scientist Intern focusing on chemical/material characterization using various...
10671,RCRA/CERCLA Task Order Manager,"San Diego, CA 92103",KMEA,None,None,None,Collecting and managing field data and interpreting field and analytical data. These contracts require full-time regular employee additions to our organization...
10672,Plasma Laboratory Manager,"San Diego, CA",UC San Diego,"<nobr>$68,700 - $90,000 a year</nobr>",42 reviews,51.6,"Advanced knowledge and ability to analyze large collections of scientific data,including statistical analysis, collection of large data sets , the integration..."
10673,Staff Software Design Engineer / Architect,"San Diego, CA",Intellipro Group Inc.,None,None,None,Data is stored on board in postgres databases and is shipped via the fab network to data servers in San Diego. The control loops involve data exchange at speeds...
10674,Associate Scientist - In Vitro Pharmacology,"San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,Effectively presents data to other scientific staff or cross-functional project team; He/she will apply expertise in cell pharmacology and enzymology to...
10675,Software Engineer - Oncology Analytics,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,Strong problem solving and data structures experience. Design and implement clinical-grade data analysis pipelines and patient-focused sequencing portals....
10676,Full Stack Software Developer,"San Diego, CA",Rady Children's Hospital - Main Campus,None,None,None,"O Communicate clearly with a wide variety of stake holders – bioinformaticists, data scientists, biologists, geneticists, physicians, lab staff and..."
10677,Field Service Engineer,"San Diego, CA","Beckman Coulter, Inc.",None,245 reviews,42.6,Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....
10678,Electromechanical Test Development Group Lead/Manager,"San Diego, CA",Dexcom,None,25 reviews,43.8,"Familiarity with best practices related to data collection, analysis, and presentation. 3-5 years of Lead/Supervisory/Management experience overseeing engineers..."
10679,"Staff Scientist, Biophysics","San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,Effectively presents data to other scientific staff or cross-functional project team; Positive can-do attitude with strong collaboration skills and ability to...
10680,Staff Scientist - In Vitro Pharmacology,"San Diego, CA",Takeda Pharmaceuticals,None,146 reviews,44.4,Assimilates data and make recommendations rapidly. Effectively presents data to other scientific staff or cross-functional project team;...
10681,Consumables Development Scientist - Array Development,"San Diego, CA","Illumina, Inc.",None,52 reviews,41.4,"Analyze, interpret and understand large data sets from both biochemical and physical studies to make timely recommendations based on sound evidence...."
10682,Recruiter (Cloud/Big Data roles),"San Diego, CA",Pierpoint for Pierpoint International,None,None,None,"- Experience recruiting Cloud and Big Data roles (Data Scientists, BI Consultants, Developers, etc)*. We are currently looking for an experienced Recruiter to..."
10683,Associate Clinical Scientist,"San Diego, CA",Navitas Inc,None,None,None,"Opportunity for an *Associate Scientist*. Analyze, interpret and present scientific data Accurately maintain written reports and organize data Review current..."
10684,Software Engineer (C#/Machine Learning),"San Diego, CA",Workbridge Associates,"<nobr>$85,000 - $115,000 a year</nobr>",25 reviews,41.4,Experience working with large amounts of data. A leading cybersecurity solutions company located in San Diego is looking to bring on a Software Engineer to...
10685,"Postdoctoral Fellow, Analytical Sciences","San Diego, CA","Janssen Research & Development, LLC.",None,None,None,"The Postdoctoral Scientist will:. Strong data analysis and interpretation skills are a plus. Building on a strong legacy of success, we are currently seeking an..."
